ShellNo,kx,ky,kz,u_amp,v_amp,w_amp,u_hat_pn1,u_hat_pn2,u_hat_pn3
1,28.004838420940924,39.086386211129209,-41.887902047863896,0.92304386135527564E-3,0.24871387157628154E-3,0.84919556468943743E-3,0.72187705600050500,0.19450954057195047,0.66412314719977394
1,-17.270418952577394,44.874816893565324,-41.887902047863896,0.11452368646016793E-2,-0.84248242363714381E-4,-0.56243792955691782E-3,0.89564564681472714,-0.65887305811708347E-1,-0.43986104427955813
1,-45.231382061253854,-16.313756123512551,-41.887902047863896,-0.25929642257421920E-4,-0.11815355960446887E-2,0.48816283750410328E-3,-0.20278574615566983E-1,-0.92403348675134644,0.38177335524327832
1,-30.706432654648310,-37.001777736402182,-41.887902047863896,0.19278233080351594E-3,0.87391472282354575E-3,-0.91329606215648489E-3,0.15076763655090653,0.68345504880026886,-0.71425367765120817
1,-34.000121779403678,-34.000121779403678,-41.887902047863896,0.40508206418641711E-3,0.75966684704610371E-3,-0.94541867432468036E-3,0.31679908201127982,0.59410618503182466,-0.73937553553234492
1,12.638925245107426,-46.392608578060646,-41.887902047863896,0.96379343440844238E-3,0.69242382924385594E-3,-0.47608100516066356E-3,0.75374572775106152,0.54151801044995296,-0.37232461945907808
1,15.894167008994170,-45.380524645697534,-41.887902047863896,0.12166458050994733E-3,0.88609001938273204E-3,-0.91380735080649300E-3,0.95149182910012342E-1,0.69297687934814101,-0.71465353681379706
1,44.691980186503422,-17.738192383603977,-41.887902047863896,0.87181292956203880E-3,0.68012577582702736E-3,0.64216260549215440E-3,0.68181131723402388,0.53190017649129107,0.50221064299767537
1,47.894177149070472,4.2619663586208389,-41.887902047863896,-0.72195424054042571E-3,0.74256459586967633E-3,-0.74992103751990728E-3,-0.56461260785938949,0.58073117302308463,-0.58648436272883819
1,-21.305086782502304,-43.105798208809517,-41.887902047863896,-0.11459962653121408E-2,0.15458612192652911E-4,0.56697024453496267E-3,-0.89623954486458557,0.12089585258820826E-1,0.44340559327684431
1,34.000121779403678,-34.000121779403678,-41.887902047863896,0.20628967983254791E-3,0.10565007296938166E-2,-0.69011045720185295E-3,0.16133121403587275,0.82624853308050072,-0.53970881126773529
1,4.7212502436626025,-47.851085234979529,-41.887902047863896,-0.10545278576888412E-2,0.41462143681475413E-3,-0.59250462317199230E-3,-0.82470562586401552,0.32425945796668121,-0.46337504743716673
1,23.773603806954490,-41.795123209036234,-41.887902047863896,-0.10192247301215502E-2,-0.75261638292218724E-3,0.17248535199868289E-3,-0.79709640937622239,-0.58859228856569445,0.13489415109830347
1,-15.827031363055038,-45.403982647576548,-41.887902047863896,-0.12170408339661064E-2,0.67880611604366429E-4,0.38627127516246171E-3,-0.95180076596349372,0.53086812139703191E-1,0.30208788835064293
1,-31.398164621216921,-36.416642080888273,-41.887902047863896,-0.56415612567421258E-3,-0.62242958399798775E-3,0.96400775194844114E-3,-0.44120477929228347,-0.48677820683880368,0.75391333724536702
1,-12.596256126484576,-46.404212024605698,-41.887902047863896,-0.11856875462196955E-2,0.45529403597512926E-3,-0.14783115548938833E-3,-0.92728056708466244,0.35606793140007897,-0.11561305348279440
1,46.379220328402667,-12.687966100129710,-41.887902047863896,0.37502987413125873E-3,0.12216013567934792E-2,0.45214882259667461E-4,0.29329642152932528,0.95536737523340776,0.35360818114422592E-1
1,32.630654213990127,-35.316525417933867,-41.887902047863896,-0.10093869807325927E-2,-0.77337792523193014E-3,-0.13426159123080579E-3,-0.78940268444732875,-0.60482909124436868,-0.10500081986280939
1,34.000121779403678,-34.000121779403678,-41.887902047863896,-0.52939105989311351E-3,0.65552402033715687E-3,-0.96178741489717431E-3,-0.41401636020581023,0.51266009097748211,-0.75217689714647085
1,-34.000121779403678,-34.000121779403678,41.887902047863896,0.71520124028752962E-3,-0.10289075553507024E-2,-0.25463325670806159E-3,0.55933134643095239,-0.80466897408612137,-0.19913886371807760
1,-34.000121779403678,-34.000121779403678,41.887902047863896,0.30773858361798570E-3,-0.10739927313758394E-2,-0.62196321763669654E-3,0.24067049471922375,-0.83992835394972198,-0.48641347966818771
1,-40.309346016966565,-26.213988359519465,-41.887902047863896,0.75242732169170570E-4,0.10482243839397398E-2,-0.72839950518805558E-3,0.58844443105839951E-1,0.81977592180217751,-0.56965320112236162
1,-34.000121779403678,34.000121779403678,-41.887902047863896,-0.96982195818838546E-3,-0.82500260554306960E-3,0.11754887175606948E-3,-0.75846040403080484,-0.64520276556278633,0.91930445596443547E-1
1,-24.729533189247693,41.236716046145780,-41.887902047863896,0.89052104337564554E-3,-0.33407029860432150E-3,-0.85461744300236678E-3,0.69644221256684147,-0.26126351493157990,-0.66836338942269902
1,10.635360765498676,46.892490479993185,-41.887902047863896,0.12607316876286207E-2,-0.16509787304277057E-3,0.13527738581956727E-3,0.98596970000497730,-0.12911668831107512,0.10579523369072839
