 energy shell parameters
             Nshells                80
              kstart      63.770000000
                kend    1660.000000000
                  Np                40
 isotropic coordinates
    i    j                 x                 y                 z
    3   10  -0.763680491E+02   0.571575170E+02  -0.418879020E+02
    3   11   0.524092595E+02   0.329930476E+02  -0.837758041E+02
    3   12   0.606871204E+02  -0.123428152E+02  -0.837758041E+02
    3   13   0.728883538E+02  -0.615333126E+02  -0.418879020E+02
    3   14   0.674502064E+02  -0.674502064E+02  -0.418879020E+02
    3   15  -0.674502064E+02  -0.674502064E+02   0.418879020E+02
    3   16  -0.553100610E+02  -0.777165223E+02   0.418879020E+02
    3   17  -0.920256342E+02  -0.251066391E+02   0.418879020E+02
    3   18  -0.837005304E+02   0.457523977E+02   0.418879020E+02
    3   19  -0.626290142E+02   0.719490602E+02   0.418879020E+02
    3   20  -0.246643292E+02   0.921451657E+02  -0.418879020E+02
    3   21   0.237069555E+02   0.923961089E+02  -0.418879020E+02
    3   22   0.671272985E+02   0.677715757E+02  -0.418879020E+02
    3   23   0.918110479E+02  -0.258803433E+02  -0.418879020E+02
    3   24   0.804522651E+02  -0.512493290E+02  -0.418879020E+02
    3   25   0.620580031E+02  -0.724421489E+02   0.418879020E+02
    3   26   0.570256658E+02  -0.764665556E+02   0.418879020E+02
    3   27  -0.307658123E+02  -0.537469670E+02   0.837758041E+02
    3   28  -0.662554377E+02  -0.686241769E+02   0.418879020E+02
    3   29  -0.264695969E+02   0.916429000E+02   0.418879020E+02
    3   30   0.674502064E+02   0.674502064E+02   0.418879020E+02
    3   31   0.355093390E+02   0.885333131E+02  -0.418879020E+02
    3   32   0.941142777E+02   0.155423105E+02  -0.418879020E+02
    3   33   0.674502064E+02  -0.674502064E+02   0.418879020E+02
    3   34   0.707799495E+02  -0.639473177E+02   0.418879020E+02
    3   35   0.593157254E+02  -0.178021457E+02   0.837758041E+02
    3   36  -0.194496079E+02   0.587961259E+02   0.837758041E+02
    3   37   0.590075589E+02   0.749477730E+02   0.418879020E+02
    3   38   0.899280186E+02   0.318121385E+02   0.418879020E+02
    3   39   0.335313351E+02   0.520665079E+02   0.837758041E+02
    3   40  -0.786291850E+02   0.540047401E+02   0.418879020E+02
    3   41  -0.889900467E+02   0.343486867E+02   0.418879020E+02
